repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
Heeexy/SpringBoot-Shiro-Vue,27,5.778,6.0,4.902,0,13,1.0,9.5,1.407,1.0,0.971,1,4,1.0,1.0,9.444,0.0,30.628,0,153,0.0,4.5
deepjavalibrary/djl,1666,6.518,5.0,5.595,0,46,3.0,9.0,1.465,1.0,0.975,1,8,1.0,2.0,132.73,3.0,1683.105,0,41905,0.0,10.0
gabrielemariotti/cardslib,811,5.901,4.0,6.108,0,54,2.0,9.0,2.178,1.0,2.038,1,20,1.0,3.0,18.62,0.0,104.382,0,2512,0.0,6.0
bytedeco/javacpp,215,5.912,5.0,6.982,0,65,1.0,8.5,2.009,2.0,1.242,1,13,1.0,3.0,151.14,1.0,382.457,0,3403,0.0,171.0
romandanylyk/PageIndicatorView,72,5.514,4.0,5.554,0,34,2.0,8.0,1.5,1.0,0.712,1,4,1.0,2.0,22.806,1.0,161.996,0,1377,0.0,3.0
oracle/opengrok,1128,5.352,3.0,6.794,0,77,1.0,6.0,1.638,1.0,1.299,1,7,1.0,2.0,78.878,1.0,1086.038,0,31268,0.0,7.0
SuperMonster003/AutoJs6,1768,5.15,3.0,6.557,0,51,1.0,7.0,1.465,1.0,0.878,1,11,1.0,2.0,37.234,1.0,200.585,0,5451,0.0,10.0
981011512/--,5069,3.542,2.0,7.169,0,371,1.0,4.0,2.911,2.0,52.985,1,3734,1.0,3.0,440.426,0.0,5564.686,0,214143,0.0,1.0
Netflix/ribbon,710,4.386,2.0,5.972,0,50,0.0,6.0,1.266,1.0,0.662,1,6,1.0,1.0,13.377,0.0,99.927,0,1885,0.0,1.0
bepass-org/oblivion,58,5.638,4.0,6.037,0,28,1.0,8.0,1.483,1.0,0.707,1,3,1.0,2.0,11.621,0.5,46.819,0,333,0.0,3.0
apache/rocketmq-externals,275,5.749,4.0,5.901,0,30,2.0,8.0,1.251,1.0,0.559,1,4,1.0,1.0,16.451,0.0,88.281,0,1227,0.0,4.5
